#1

KodKlienta	srednia
07935	41,33
05080	40
00645	39,75
08090	39,5
05738	39,33
08349	39,2
08850	39
02202	38,25
09468	37,75
06866	36,75


#2

BEM	54080
BIA	61614
BIE	56368
MOK	55889
OCH	59273
PRA	57241
REM	58971
SRO	58124
TAR	60234
URU	59597
URY	50116
WAW	57674
WES	60372
WIL	55476
WLO	66372
WOL	60523
ZOL	62312

#3

Dzielnica	Max
BEM	8108
BIA	9274
BIE	8475
MOK	8452
OCH	8861
PRA	8575
REM	8873
SRO	8776
TAR	9120
URU	8960
URY	7519
WAW	8699
WES	9050
WIL	8284
WLO	9966
WOL	9117
ZOL	9417

#4

2026 VII 160316

wykres "wykres.png" znajduje sie w folderze

#5

2035 VII

